,epoch,loss,acc,timestamp
0,0,1.370887314414119,0.7643581081081081,2020-01-27-17:33
1,1,0.4743323379808718,0.8958333333333334,2020-01-27-17:34
2,2,0.3064168134519646,0.9231418918918919,2020-01-27-17:34
3,3,0.23343904927238687,0.9411599099099099,2020-01-27-17:34
4,4,0.18943306206314414,0.954954954954955,2020-01-27-17:34
5,5,0.1600775967712875,0.9631193693693694,2020-01-27-17:35
6,6,0.13902223021261864,0.9670608108108109,2020-01-27-17:35
7,7,0.12305649423652941,0.9707207207207207,2020-01-27-17:35
8,8,0.11013196209898672,0.973536036036036,2020-01-27-17:35
9,9,0.09925578572359439,0.9771959459459459,2020-01-27-17:35
10,10,0.08989926232947959,0.9788851351351351,2020-01-27-17:36
11,11,0.08158458744989591,0.9805743243243243,2020-01-27-17:36
12,12,0.07428055561172801,0.981418918918919,2020-01-27-17:36
13,13,0.06792929088529032,0.9817004504504504,2020-01-27-17:36
14,14,0.062113242509128815,0.982545045045045,2020-01-27-17:36
15,15,0.056830428100216226,0.9842342342342343,2020-01-27-17:37
16,16,0.05209469528415719,0.9867680180180181,2020-01-27-17:37
17,17,0.0477249616492741,0.9890202702702703,2020-01-27-17:37
18,18,0.043778115459759764,0.9915540540540541,2020-01-27-17:37
19,19,0.04016434817222526,0.9918355855855856,2020-01-27-17:38
20,20,0.036978346687900995,0.9929617117117117,2020-01-27-17:38
21,21,0.03400572975426241,0.9938063063063063,2020-01-27-17:38
22,22,0.03129914213026463,0.9938063063063063,2020-01-27-17:38
23,23,0.028809316919881617,0.9949324324324325,2020-01-27-17:38
24,24,0.026464649841088702,0.9954954954954955,2020-01-27-17:39
25,25,0.024350404040887952,0.995777027027027,2020-01-27-17:39
26,26,0.02241051336750388,0.9963400900900901,2020-01-27-17:39
27,27,0.02062969895914566,0.9969031531531531,2020-01-27-17:39
28,28,0.018934344637904083,0.9974662162162162,2020-01-27-17:39
29,29,0.01739644341439277,0.9977477477477478,2020-01-27-17:40
30,30,0.015931308345013374,0.9980292792792793,2020-01-27-17:40
31,31,0.014593498695322924,0.9980292792792793,2020-01-27-17:40
32,32,0.013224228139996092,0.9980292792792793,2020-01-27-17:40
33,33,0.012063678502952596,0.9980292792792793,2020-01-27-17:40
34,34,0.010903828885397865,0.9980292792792793,2020-01-27-17:41
35,35,0.009806652520604952,0.9985923423423423,2020-01-27-17:41
36,36,0.008871260890684737,0.9988738738738738,2020-01-27-17:41
37,37,0.00798505206690967,0.9988738738738738,2020-01-27-17:41
38,38,0.0072436349572370514,0.9994369369369369,2020-01-27-17:42
39,39,0.006548587625598753,0.9994369369369369,2020-01-27-17:42
40,40,0.005966107075224287,0.9994369369369369,2020-01-27-17:42
41,41,0.005437645435842962,0.9997184684684685,2020-01-27-17:42
42,42,0.004937249123457576,0.9997184684684685,2020-01-27-17:42
43,43,0.00450830366229114,0.9997184684684685,2020-01-27-17:43
44,44,0.004131645281476111,1.0,2020-01-27-17:43
45,45,0.00376580003596557,1.0,2020-01-27-17:43
46,46,0.003461404697526968,1.0,2020-01-27-17:43
47,47,0.003196671635918277,1.0,2020-01-27-17:43
48,48,0.0029164797550136528,1.0,2020-01-27-17:44
49,49,0.0027041939239417253,1.0,2020-01-27-17:44
50,50,0.002472453350033443,1.0,2020-01-27-17:44
51,51,0.0022760422118710826,1.0,2020-01-27-17:44
52,52,0.0021212549652953566,1.0,2020-01-27-17:44
53,53,0.0019611998213148836,1.0,2020-01-27-17:45
54,54,0.0018090991590298956,1.0,2020-01-27-17:45
55,55,0.0016783560745639366,1.0,2020-01-27-17:45
56,56,0.001549677000127246,1.0,2020-01-27-17:45
57,57,0.0014337036500528648,1.0,2020-01-27-17:46
58,58,0.001321192369138222,1.0,2020-01-27-17:46
59,59,0.001227555250315581,1.0,2020-01-27-17:46
60,60,0.0011329371345136104,1.0,2020-01-27-17:46
61,61,0.0010421441244148925,1.0,2020-01-27-17:46
62,62,0.000960666276450292,1.0,2020-01-27-17:47
63,63,0.000885965194610689,1.0,2020-01-27-17:47
64,64,0.0008130705513116203,1.0,2020-01-27-17:47
65,65,0.0007481408668002234,1.0,2020-01-27-17:47
66,66,0.0006889132961110623,1.0,2020-01-27-17:47
67,67,0.0006340110932452828,1.0,2020-01-27-17:48
68,68,0.000585093848057367,1.0,2020-01-27-17:48
69,69,0.0005396077214574509,1.0,2020-01-27-17:48
70,70,0.0004981429004777687,1.0,2020-01-27-17:48
71,71,0.0004610309361187565,1.0,2020-01-27-17:48
72,72,0.000423207272507244,1.0,2020-01-27-17:49
73,73,0.0003904672264299963,1.0,2020-01-27-17:49
74,74,0.0003591541867412948,1.0,2020-01-27-17:49
75,75,0.00033265578066847583,1.0,2020-01-27-17:49
76,76,0.00030910337013542505,1.0,2020-01-27-17:50
77,77,0.00028492714567504546,1.0,2020-01-27-17:50
78,78,0.00026469101203474565,1.0,2020-01-27-17:50
79,79,0.0002444495494683406,1.0,2020-01-27-17:50
80,80,0.00022833460406349463,1.0,2020-01-27-17:50
81,81,0.00021151933221337277,1.0,2020-01-27-17:51
82,82,0.00019592975587812844,1.0,2020-01-27-17:51
83,83,0.0001820779281662728,1.0,2020-01-27-17:51
84,84,0.00016915743673905068,1.0,2020-01-27-17:51
85,85,0.00015703023227779504,1.0,2020-01-27-17:51
86,86,0.00014636124795058776,1.0,2020-01-27-17:52
87,87,0.0001353532233027894,1.0,2020-01-27-17:52
88,88,0.0001262692356982649,1.0,2020-01-27-17:52
89,89,0.00011734349620612422,1.0,2020-01-27-17:52
