,epoch,loss,acc,timestamp
0,0,1.8447736553978502,0.19764254385964913,2020-01-30-02:32
1,1,1.7803281461983396,0.23697916666666666,2020-01-30-02:32
2,2,1.7519054015477498,0.25561951754385964,2020-01-30-02:32
3,3,1.7313713786894815,0.2753563596491228,2020-01-30-02:32
4,4,1.7118038911568492,0.29454495614035087,2020-01-30-02:32
5,5,1.6917242376427901,0.3157894736842105,2020-01-30-02:32
6,6,1.670726412221005,0.34059758771929827,2020-01-30-02:32
7,7,1.6484545594767521,0.3658168859649123,2020-01-30-02:32
8,8,1.6246746977170308,0.39364035087719296,2020-01-30-02:32
9,9,1.5991830804891753,0.4224232456140351,2020-01-30-02:32
10,10,1.5717598774976898,0.45038377192982454,2020-01-30-02:32
11,11,1.5422561147756744,0.4790296052631579,2020-01-30-02:32
12,12,1.5105268317356444,0.5064418859649122,2020-01-30-02:32
13,13,1.4761403830427873,0.5386513157894737,2020-01-30-02:32
14,14,1.438354568523273,0.567297149122807,2020-01-30-02:32
15,15,1.398227612177531,0.5933388157894737,2020-01-30-02:32
16,16,1.3573777863853855,0.6144462719298246,2020-01-30-02:32
17,17,1.3159421755556475,0.6310307017543859,2020-01-30-02:32
18,18,1.2743227643924846,0.6422697368421053,2020-01-30-02:32
19,19,1.2329474264069606,0.6529605263157895,2020-01-30-02:32
20,20,1.192185859408295,0.6640625,2020-01-30-02:32
21,21,1.152400262000268,0.6726973684210527,2020-01-30-02:32
22,22,1.1137997434850324,0.680921052631579,2020-01-30-02:32
23,23,1.0765682631417324,0.6868146929824561,2020-01-30-02:32
24,24,1.0408738208444495,0.6927083333333334,2020-01-30-02:32
25,25,1.0067364008803117,0.6981907894736842,2020-01-30-02:32
26,26,0.9741090086468479,0.7038103070175439,2020-01-30-02:32
27,27,0.9431604076372949,0.7080592105263158,2020-01-30-02:32
28,28,0.9142715196337616,0.7110745614035088,2020-01-30-02:32
29,29,0.8875719165070015,0.7154605263157895,2020-01-30-02:32
30,30,0.8629200821905806,0.7206688596491229,2020-01-30-02:33
31,31,0.8401034950164327,0.7245065789473685,2020-01-30-02:33
32,32,0.8190011970306698,0.7291666666666666,2020-01-30-02:33
33,33,0.7994623879591624,0.731359649122807,2020-01-30-02:33
34,34,0.7813350762191572,0.7358826754385965,2020-01-30-02:33
35,35,0.764497925314987,0.7402686403508771,2020-01-30-02:33
36,36,0.7488318748380008,0.7430098684210527,2020-01-30-02:33
37,37,0.7342281736302794,0.7471217105263158,2020-01-30-02:33
38,38,0.7205637024160017,0.748766447368421,2020-01-30-02:33
39,39,0.7077348284554064,0.7519188596491229,2020-01-30-02:33
40,40,0.6956585078385839,0.7558936403508771,2020-01-30-02:33
41,41,0.6842531108281069,0.7594572368421053,2020-01-30-02:33
42,42,0.6734593492328075,0.7617872807017544,2020-01-30-02:33
43,43,0.66321688341467,0.7645285087719298,2020-01-30-02:33
44,44,0.6534632399939654,0.7675438596491229,2020-01-30-02:33
45,45,0.6441450579124585,0.7701480263157895,2020-01-30-02:33
46,46,0.6352371718538435,0.7719298245614035,2020-01-30-02:33
47,47,0.6266909955363524,0.7743969298245614,2020-01-30-02:33
48,48,0.6184799569217783,0.7770010964912281,2020-01-30-02:33
49,49,0.6105923785321545,0.7790570175438597,2020-01-30-02:33
50,50,0.6029912504579937,0.780016447368421,2020-01-30-02:33
51,51,0.5956483012751529,0.782483552631579,2020-01-30-02:33
52,52,0.5885472491775688,0.784265350877193,2020-01-30-02:33
53,53,0.5816724459853089,0.7850877192982456,2020-01-30-02:33
54,54,0.5750271565558618,0.7865953947368421,2020-01-30-02:33
55,55,0.5685973862806956,0.7891995614035088,2020-01-30-02:33
56,56,0.5623638460641367,0.7918037280701754,2020-01-30-02:33
57,57,0.5563160692782778,0.7952302631578947,2020-01-30-02:33
